seq_name,fold
TNT_YEAST,-1
HS60_YEAST,0
RSD1_YEAST,-1
LOS1_YEAST,-1
YEP0_YEAST,0
RT09_YEAST,1
ERG6_YEAST,-1
YP53_YEAST,0
AROG_YEAST,1
ALP1_YEAST,1
ATU1_YEAST,2
ATPT_YEAST,2
PT11_YEAST,-1
TFS2_YEAST,0
HS83_YEAST,2
HIR1_YEAST,1
MDL2_YEAST,-1
YKA8_YEAST,-1
FPS1_YEAST,0
RPCX_YEAST,2
DBR1_YEAST,-1
YKY8_YEAST,0
YHK8_YEAST,1
IMP2_YEAST,0
SIC1_YEAST,-1
SKN7_YEAST,1
RT01_YEAST,1
YK42_YEAST,2
EF1B_YEAST,0
SMF2_YEAST,2
RM36_YEAST,-1
CALM_YEAST,1
ATC1_YEAST,2
MBP1_YEAST,-1
MRF1_YEAST,0
AP19_YEAST,2
CISZ_YEAST,-1
PH85_YEAST,0
EST1_YEAST,1
CBP1_YEAST,1
TCPB_YEAST,-1
YCR8_YEAST,-1
SPT8_YEAST,2
SC15_YEAST,0
PR02_YEAST,-1
EFG2_YEAST,2
YHB9_YEAST,0
COAC_YEAST,1
RFA3_YEAST,0
UBP2_YEAST,2
E2BE_YEAST,-1
UCR6_YEAST,-1
YAE2_YEAST,1
MTD1_YEAST,0
TBF1_YEAST,1
CYT2_YEAST,0
DKA1_YEAST,1
PRTD_YEAST,-1
LYS2_YEAST,2
ATH2_YEAST,2
TOP1_YEAST,2
MK11_YEAST,0
RRN7_YEAST,-1
SAG1_YEAST,-1
SYV_YEAST,-1
HS26_YEAST,0
KTR4_YEAST,1
PRCZ_YEAST,1
PRCI_YEAST,2
KAPA_YEAST,-1
TCPD_YEAST,0
R14B_YEAST,1
MPP1_YEAST,1
PR38_YEAST,0
ADP1_YEAST,0
GLRX_YEAST,2
UBC3_YEAST,1
RAT1_YEAST,2
AROC_YEAST,-1
MPI1_YEAST,2
RM25_YEAST,-1
RL18_YEAST,0
HMD2_YEAST,-1
MGM1_YEAST,0
RL71_YEAST,1
C1TM_YEAST,1
SEC1_YEAST,2
TF2B_YEAST,-1
CYPR_YEAST,1
HS73_YEAST,-1
DUN1_YEAST,0
RHO2_YEAST,0
RCA1_YEAST,2
NUF1_YEAST,1
RER1_YEAST,0
INV4_YEAST,-1
MAN1_YEAST,0
AR56_YEAST,-1
ADH1_YEAST,1
RS6_YEAST,2
MPI2_YEAST,0
DCP3_YEAST,-1
YBY2_YEAST,1
YPT1_YEAST,0
PH84_YEAST,2
SC13_YEAST,1
YME1_YEAST,1
PT22_YEAST,2
SSB1_YEAST,2
SPT6_YEAST,-1
CBPS_YEAST,1
PIK1_YEAST,0
RPA3_YEAST,1
MYS4_YEAST,2
UBP1_YEAST,-1
PABP_YEAST,0
SC11_YEAST,2
RA57_YEAST,2
ATPE_YEAST,-1
SYDC_YEAST,1
ACOX_YEAST,0
HR25_YEAST,-1
CTK1_YEAST,0
UBC6_YEAST,-1
SEN1_YEAST,1
NSP1_YEAST,2
AST1_YEAST,2
ACT_YEAST,-1
YKJ5_YEAST,-1
SUV3_YEAST,1
YCX9_YEAST,0
R102_YEAST,0
YAG7_YEAST,0
PR09_YEAST,1
FUR4_YEAST,1
YB30_YEAST,2
RLA4_YEAST,0
MPCP_YEAST,2
MIF2_YEAST,2
FAS2_YEAST,1
PROF_YEAST,2
AMYG_YEAST,2
SIP2_YEAST,-1
CHS2_YEAST,-1
SR14_YEAST,-1
YHX8_YEAST,0
CYAA_YEAST,0
RPA9_YEAST,1
INO1_YEAST,1
MFA2_YEAST,1
ALG8_YEAST,0
TSM1_YEAST,2
SEC9_YEAST,2
SYQ_YEAST,-1
SPA2_YEAST,0
BSD2_YEAST,1
CAPB_YEAST,1
SPT2_YEAST,-1
TAT2_YEAST,2
SYTC_YEAST,2
YHN8_YEAST,2
TIF3_YEAST,-1
HO_YEAST,0
YIA6_YEAST,-1
CCR4_YEAST,1
SLA1_YEAST,0
SRP2_YEAST,-1
NAM1_YEAST,0
YEX1_YEAST,1
CYC1_YEAST,2
UBC5_YEAST,1
E2BD_YEAST,2
SPT7_YEAST,2
AFR1_YEAST,-1
MS18_YEAST,-1
RL15_YEAST,0
SOK1_YEAST,-1
UBC7_YEAST,1
RN14_YEAST,0
H150_YEAST,2
GALY_YEAST,1
YKW2_YEAST,2
YUR1_YEAST,-1
PR05_YEAST,-1
CHL1_YEAST,0
YHA8_YEAST,-1
PEP1_YEAST,0
RT02_YEAST,0
PPX1_YEAST,2
CYC2_YEAST,1
TCPG_YEAST,-1
SC17_YEAST,0
SNF1_YEAST,1
HS74_YEAST,2
HDF1_YEAST,1
COFI_YEAST,-1
YN19_YEAST,-1
LCF2_YEAST,0
SRS2_YEAST,2
ARG3_YEAST,-1
NAM9_YEAST,2
THIL_YEAST,1
ADR6_YEAST,0
PAN1_YEAST,2
KTR3_YEAST,0
IDH1_YEAST,-1
ATP6_YEAST,0
COX1_YEAST,1
VATF_YEAST,-1
SNF4_YEAST,-1
RL2_YEAST,0
DPOD_YEAST,1
HSP7_YEAST,2
ADR1_YEAST,2
ASSY_YEAST,1
STE5_YEAST,-1
PUT1_YEAST,-1
TF3B_YEAST,0
TKT2_YEAST,2
RL25_YEAST,-1
SNP2_YEAST,1
RL3E_YEAST,0
IF41_YEAST,1
SWI4_YEAST,2
SX19_YEAST,0
SIS2_YEAST,-1
RT04_YEAST,0
FKB2_YEAST,1
PRTB_YEAST,0
BIK1_YEAST,2
RIM1_YEAST,1
INV2_YEAST,0
DRS1_YEAST,0
SNC2_YEAST,0
DPOX_YEAST,1
MOT1_YEAST,2
HS77_YEAST,2
DEP1_YEAST,-1
YAB1_YEAST,-1
RM20_YEAST,0
CB31_YEAST,-1
RPC2_YEAST,0
SC62_YEAST,1
MET4_YEAST,1
MTC_YEAST,0
RPB2_YEAST,2
YKD8_YEAST,-1
TRK2_YEAST,2
PPA1_YEAST,-1
TPS3_YEAST,1
DHE2_YEAST,2
MTC_YEAST,-1
GAP1_YEAST,0
MGMT_YEAST,0
RPA2_YEAST,1
YHI7_YEAST,1
OM70_YEAST,1
SPK1_YEAST,2
COXB_YEAST,2
GAL7_YEAST,0
HXKG_YEAST,1
SSN6_YEAST,-1
ARLY_YEAST,2
HIS7_YEAST,-1
GCN1_YEAST,0
SC23_YEAST,1
G6PI_YEAST,2
N116_YEAST,0
GBB_YEAST,-1
MAT1_YEAST,1
RFA1_YEAST,2
PMM_YEAST,0
SPR1_YEAST,1
RL2_YEAST,1
SDH4_YEAST,-1
CHI1_YEAST,2
YM38_YEAST,0
UCR1_YEAST,1
EF1H_YEAST,2
ATPD_YEAST,2
YHA9_YEAST,-1
SX18_YEAST,0
CAT8_YEAST,1
